1,2,3,4,6,9,14,15,18,19
1,5,7,9,10,11,12,13,14,15
2,3,6,11,13,14,15,16,17,18
1,3,6,7,8,10,11,12,13,20
4,5,6,8,11,12,14,17,18,20
1,3,7,8,9,12,13,16,18,20
1,2,3,4,11,13,16,17,18,20
2,3,7,9,10,12,14,17,19,20
1,2,4,5,7,8,10,12,16,19
1,4,7,9,10,12,14,18,19,20
3,5,6,7,8,11,12,13,14,20
1,2,3,4,10,12,16,18,19,20
1,5,11,12,13,14,15,16,17,18
1,4,6,9,11,12,14,16,19,20
1,2,4,5,6,7,8,16,19,20
1,2,3,5,6,7,13,14,15,19
1,5,7,9,12,14,16,17,19,20
1,2,3,5,6,11,13,15,17,19
6,7,8,11,14,16,17,18,19,20
1,2,5,8,9,10,14,16,17,19
